Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
10.6777	0	0	226	LastDelay	0.000752144	752.144	1	1
10.6777	0	0	226	FullDelay	1.95989	1.95989e+06	2	1
10.7552	0	0	48	LastDelay	0.000761144	761.144	1	1
10.7552	0	0	48	FullDelay	6.82745	6.82745e+06	5	1
10.7883	0	0	305	LastDelay	0.000743144	743.144	1	1
10.7883	0	0	305	FullDelay	0.000743144	743.144	1	1
10.8211	0	0	52	LastDelay	0.000734144	734.144	1	1
10.8211	0	0	52	FullDelay	6.85516	6.85516e+06	5	1
10.9148	0	0	101	LastDelay	0.000689144	689.144	1	1
10.9148	0	0	101	FullDelay	5.59271	5.59271e+06	4	1
10.9366	0	0	103	LastDelay	0.000734144	734.144	1	1
10.9366	0	0	103	FullDelay	5.49881	5.49881e+06	4	1
10.9695	0	0	234	LastDelay	0.000761144	761.144	1	1
10.9695	0	0	234	FullDelay	2.0261	2.0261e+06	2	1
10.9915	0	0	239	LastDelay	0.000725144	725.144	1	1
10.9915	0	0	239	FullDelay	1.88831	1.88831e+06	2	1
10.997	0	0	240	LastDelay	0.000761144	761.144	1	1
10.997	0	0	240	FullDelay	1.88306	1.88306e+06	2	1
11.0461	0	0	312	LastDelay	0.000761144	761.144	1	1
11.0461	0	0	312	FullDelay	0.000761144	761.144	1	1
11.0792	0	0	315	LastDelay	0.000752144	752.144	1	1
11.0792	0	0	315	FullDelay	0.000752144	752.144	1	1
11.1013	0	0	316	LastDelay	0.000752144	752.144	1	1
11.1013	0	0	316	FullDelay	0.000752144	752.144	1	1
11.1124	0	0	317	LastDelay	0.000752144	752.144	1	1
11.1124	0	0	317	FullDelay	0.000752144	752.144	1	1
11.1454	0	0	321	LastDelay	0.000761144	761.144	1	1
11.1454	0	0	321	FullDelay	0.000761144	761.144	1	1
11.2057	0	0	117	LastDelay	0.000761144	761.144	1	1
11.2057	0	0	117	FullDelay	5.42807	5.42807e+06	4	1
11.338	0	0	246	LastDelay	0.000743144	743.144	1	1
11.338	0	0	246	FullDelay	2.01975	2.01975e+06	2	1
11.3601	0	0	30	LastDelay	0.000734144	734.144	1	1
11.3601	0	0	30	FullDelay	8.47158	8.47158e+06	6	1
11.3823	0	0	185	LastDelay	0.000707144	707.144	1	1
11.3823	0	0	185	FullDelay	3.44667	3.44667e+06	3	1
11.4155	0	0	179	LastDelay	0.000752144	752.144	1	1
11.4155	0	0	179	FullDelay	3.5129	3.5129e+06	3	1
11.4321	0	0	181	LastDelay	0.000761144	761.144	1	1
11.4321	0	0	181	FullDelay	3.51834	3.51834e+06	3	1
11.4925	0	0	68	LastDelay	0.000698144	698.144	1	1
11.4925	0	0	68	FullDelay	7.13702	7.13702e+06	5	1
11.5368	0	0	70	LastDelay	0.000725144	725.144	1	1
11.5368	0	0	70	FullDelay	7.1704	7.1704e+06	5	1
11.5643	0	0	37	LastDelay	0.000761144	761.144	1	1
11.5643	0	0	37	FullDelay	8.58225	8.58225e+06	6	1
11.6688	0	0	79	LastDelay	0.000743144	743.144	1	1
11.6688	0	0	79	FullDelay	7.25286	7.25286e+06	5	1
11.7017	0	0	81	LastDelay	0.000734144	734.144	1	1
11.7017	0	0	81	FullDelay	7.27471	7.27471e+06	5	1
11.7234	0	0	88	LastDelay	0.000752144	752.144	1	1
11.7234	0	0	88	FullDelay	6.91194	6.91194e+06	5	1
11.7668	0	0	155	LastDelay	0.000725144	725.144	1	1
11.7668	0	0	155	FullDelay	5.15316	5.15316e+06	4	1
11.833	0	0	191	LastDelay	0.000725144	725.144	1	1
11.833	0	0	191	FullDelay	3.58332	3.58332e+06	3	1
